Categorie: Alle categorieën

Dag,Fifty Shades of Grey: (Verenigde Staten)
2015-02-06,23
2015-02-07,23
2015-02-08,22
2015-02-09,19
2015-02-10,27
2015-02-11,34
2015-02-12,46
2015-02-13,79
2015-02-14,100
2015-02-15,98
2015-02-16,66
2015-02-17,43
2015-02-18,35
2015-02-19,28
2015-02-20,26
2015-02-21,32
2015-02-22,31
2015-02-23,25
2015-02-24,18
2015-02-25,16
2015-02-26,14
2015-02-27,15
2015-02-28,22
2015-03-01,22
2015-03-02,16
2015-03-03,12
2015-03-04,11
2015-03-05,12
2015-03-06,12
2015-03-07,16
2015-03-08,16
2015-03-09,10
2015-03-10,9
2015-03-11,9
2015-03-12,8
2015-03-13,9
