Categorie: Alle categorieën

Dag,Friday the 13th: (Verenigde Staten)
2009-02-06,12
2009-02-07,15
2009-02-08,19
2009-02-09,16
2009-02-10,17
2009-02-11,17
2009-02-12,29
2009-02-13,96
2009-02-14,100
2009-02-15,61
2009-02-16,38
2009-02-17,23
2009-02-18,17
2009-02-19,12
2009-02-20,15
2009-02-21,19
2009-02-22,17
2009-02-23,9
2009-02-24,7
2009-02-25,6
2009-02-26,5
2009-02-27,7
2009-02-28,11
2009-03-01,9
2009-03-02,6
2009-03-03,5
2009-03-04,5
2009-03-05,4
2009-03-06,5
2009-03-07,8
2009-03-08,7
2009-03-09,4
2009-03-10,4
2009-03-11,4
2009-03-12,5
2009-03-13,19
