Categorie: Alle categorieën

Dag,Meet the Fockers: (Verenigde Staten)
2004-12-15,19
2004-12-16,24
2004-12-17,36
2004-12-18,34
2004-12-19,41
2004-12-20,38
2004-12-21,53
2004-12-22,73
2004-12-23,76
2004-12-24,100
2004-12-25,90
2004-12-26,83
2004-12-27,66
2004-12-28,56
2004-12-29,47
2004-12-30,47
2004-12-31,58
2005-01-01,52
2005-01-02,53
2005-01-03,38
2005-01-04,22
2005-01-05,19
2005-01-06,19
2005-01-07,27
2005-01-08,35
2005-01-09,38
2005-01-10,29
2005-01-11,19
2005-01-12,24
2005-01-13,19
2005-01-14,25
2005-01-15,41
2005-01-16,31
2005-01-17,28
2005-01-18,19
2005-01-19,18
