Categorie: Alle categorieën

Dag,Superman Returns: (Verenigde Staten)
2006-06-21,30
2006-06-22,34
2006-06-23,44
2006-06-24,41
2006-06-25,40
2006-06-26,41
2006-06-27,58
2006-06-28,89
2006-06-29,100
2006-06-30,85
2006-07-01,100
2006-07-02,100
2006-07-03,75
2006-07-04,66
2006-07-05,45
2006-07-06,34
2006-07-07,30
2006-07-08,44
2006-07-09,42
2006-07-10,23
2006-07-11,19
2006-07-12,18
2006-07-13,17
2006-07-14,17
2006-07-15,22
2006-07-16,25
2006-07-17,16
2006-07-18,12
2006-07-19,11
2006-07-20,11
2006-07-21,14
2006-07-22,21
2006-07-23,16
2006-07-24,11
2006-07-25,9
2006-07-26,9
