"movieId","movieYear","movieURL","movieTitle","critic_score","critic_sentiment","audience_score","audience_sentiment","release_date_theaters","release_date_streaming","rating","original_language","runtime"
"281004c8-bbc3-3522-8246-26ee44469bb4",1902,"https://www.rottentomatoes.com/m/le_voyage_dans_la_lune","A Trip to the Moon",100.0,"positive",90.0,"positive","Oct 4, 1902, Original","Aug 27, 2016","","French (France)","14m"
"ac173b27-b71a-34b3-9888-5304a0e165e0",1915,"https://www.rottentomatoes.com/m/birth_of_a_nation","The Birth of a Nation",91.0,"positive",47.0,"negative","Mar 3, 1915, Wide","Jul 8, 2016","","","3h 10m"
"96f91c04-5e32-39b2-805f-4c1d1bcb3b1b",1921,"https://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari","The Cabinet of Dr. Caligari",96.0,"positive",89.0,"positive","Mar 19, 1921, Wide","Mar 22, 2016","","German","1h 9m"
"b70c2dc6-41e7-3240-a38f-5f5e5018eeb1",1921,"https://www.rottentomatoes.com/m/1052609-kid","The Kid",100.0,"positive",95.0,"positive","Jan 21, 1921, Original","Sep 2, 2016","","English","1h 0m"
"13101368-55d8-30a1-9d41-4271211defbb",1922,"https://www.rottentomatoes.com/m/nosferatu","Nosferatu",97.0,"positive",87.0,"positive","Mar 5, 1922, Original","Jul 15, 2008","","German","1h 5m"
"0b3942e5-015f-32c3-918e-b57567e02768",1923,"https://www.rottentomatoes.com/m/safety_last","Safety Last",97.0,"positive",93.0,"positive","Apr 1, 1923, Wide","Mar 17, 2017","","English","1h 14m"
"31380a24-d8b9-309c-9919-2a296414f7d4",1925,"https://www.rottentomatoes.com/m/the_gold_rush","The Gold Rush",100.0,"positive",93.0,"positive","Jun 26, 1925, Wide","May 5, 2017","","English","1h 22m"
"58f41cfc-3c64-3717-a536-077476d01ffc",1926,"https://www.rottentomatoes.com/m/battleship_potemkin","Battleship Potemkin",100.0,"positive",86.0,"positive","Dec 5, 1926, Original","Jul 15, 2008","","Russian","1h 7m"
"8e497f00-f9c0-3e6c-8526-969077b790df",1927,"https://www.rottentomatoes.com/m/1013775-metropolis","Metropolis",97.0,"positive",92.0,"positive","Oct 14, 2011","Dec 21, 2016","","German","2h 3m"
"f738f015-343f-3d13-9098-b4db4e1f52d8",1927,"https://www.rottentomatoes.com/m/1008166-general","The General",92.0,"positive",92.0,"positive","Feb 5, 1927, Wide","Sep 1, 2016","","English","1h 23m"
